Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-17 15:30:00+00:00,95.3550033569336,95.47000122070312,95.23500061035156,95.3499984741211,356828,625.1699829101562,626.0700073242188,624.530029296875,625.9749755859375,1559793,305.3599853515625,305.860107421875,305.0899963378906,305.82000732421875,212214,213.88999938964844,214.1300048828125,213.22999572753906,213.52000427246094,369803,254.14999389648438,254.3249969482422,253.66000366210938,254.2550048828125,2616936
2026-03-17 15:45:00+00:00,95.3550033569336,95.5302963256836,95.3499984741211,95.41999816894531,321357,625.8499755859375,627.030029296875,625.4000244140625,626.7899780273438,139075,305.81500244140625,306.79998779296875,305.79998779296875,306.7099914550781,212953,213.5,213.86000061035156,213.3699951171875,213.39199829101562,4877573,254.22999572753906,254.68499755859375,254.22000122070312,254.4387969970703,353108
2026-03-17 16:00:00+00:00,95.41000366210938,95.45999908447266,95.26000213623047,95.2750015258789,328046,626.77001953125,626.9990234375,625.0999755859375,625.1649780273438,145524,306.70001220703125,307.489990234375,306.67999267578125,307.2200012207031,342523,213.3800048828125,213.5,213.00999450683594,213.30999755859375,311441,254.44000244140625,254.88999938964844,254.2100067138672,254.55999755859375,373472
2026-03-17 16:15:00+00:00,95.27999877929688,95.37000274658203,95.25,95.30000305175781,267618,625.239990234375,625.7360229492188,624.9099731445312,625.52001953125,3312039,307.20001220703125,307.30999755859375,306.7300109863281,307.07000732421875,213912,213.30499267578125,213.77999877929688,213.26010131835938,213.6699981689453,431782,254.5803985595703,255.12989807128906,254.52000427246094,254.86000061035156,603849
2026-03-17 16:30:00+00:00,95.30000305175781,95.48500061035156,95.19000244140625,95.48400115966797,286596,625.4400024414062,625.7999877929688,624.2000122070312,625.3699951171875,1808270,307.0199890136719,307.29998779296875,306.80999755859375,307.260009765625,225826,213.6750030517578,214.02890014648438,213.50999450683594,213.88999938964844,448143,254.8699951171875,255.02999877929688,254.36000061035156,254.54879760742188,348494
2026-03-17 16:45:00+00:00,95.48500061035156,95.52999877929688,95.37000274658203,95.3949966430664,247481,625.3800048828125,625.5900268554688,623.6599731445312,623.9099731445312,121986,307.260009765625,307.2799987792969,306.5899963378906,306.66009521484375,169560,213.8697967529297,214.0,213.47000122070312,213.5500030517578,336229,254.5399932861328,254.6999969482422,254.05999755859375,254.08799743652344,377296
2026-03-17 17:00:00+00:00,95.3949966430664,95.5,95.26000213623047,95.375,255145,623.9400024414062,625.97998046875,623.9099731445312,625.3411254882812,207840,306.68499755859375,307.0299987792969,306.45001220703125,306.8800048828125,142307,213.5500030517578,214.52999877929688,213.5500030517578,213.9550018310547,670407,254.08999633789062,254.30999755859375,253.8000030517578,253.92990112304688,4040112
2026-03-17 17:15:00+00:00,95.375,95.38999938964844,95.27999877929688,95.29499816894531,4773118,625.2800903320312,625.364990234375,624.280029296875,624.5599975585938,2081834,306.8500061035156,306.9649963378906,306.5929870605469,306.7300109863281,2050092,213.9499969482422,213.9499969482422,213.61000061035156,213.6649932861328,382369,253.91000366210938,253.94000244140625,253.55999755859375,253.9199981689453,4999464
2026-03-17 17:30:00+00:00,95.29499816894531,95.33999633789062,95.06009674072266,95.06999969482422,331147,624.510009765625,625.8200073242188,624.2550048828125,625.1400146484375,85485,306.7099914550781,307.48980712890625,306.625,306.9049987792969,184049,213.66000366210938,214.1750030517578,213.6199951171875,213.9199981689453,533767,253.91000366210938,254.32000732421875,253.88499450683594,254.22000122070312,4815160
2026-03-17 17:45:00+00:00,95.06999969482422,95.18000030517578,94.86000061035156,95.12000274658203,526144,625.25,626.4000244140625,624.880126953125,626.010009765625,98113,306.9800109863281,307.55999755859375,306.7699890136719,307.5,176141,213.97000122070312,214.07000732421875,213.7899932861328,213.88999938964844,405239,254.25259399414062,254.60499572753906,254.09500122070312,254.50399780273438,292500
